from,to,distance
0,1,1
1,0,1
1,2,1
2,1,1
2,3,1
3,2,1
3,4,1
4,3,1
4,5,1
5,4,1
5,6,1
5,73,1
5,74,1
6,5,1
6,7,1
7,6,1
7,8,1
8,7,1
8,9,1
9,8,1
9,10,1
9,51,1
10,9,1
10,11,1
10,50,1
10,52,1
11,10,1
11,12,1
11,51,1
12,11,1
12,13,1
13,12,1
13,14,1
14,13,1
14,15,1
15,14,1
15,16,1
15,79,1
16,15,1
16,17,1
17,16,1
17,18,1
18,17,1
18,19,1
19,18,1
19,20,1
20,19,1
20,21,1
20,28,1
21,20,1
21,22,1
22,21,1
22,23,1
23,22,1
23,24,1
24,23,1
24,25,1
25,24,1
25,26,1
26,25,1
26,27,1
27,26,1
28,20,1
28,29,1
29,28,1
29,30,1
30,29,1
30,31,1
31,30,1
31,32,1
32,31,1
32,33,1
33,32,1
34,35,1
35,34,1
35,36,1
36,35,1
36,37,1
37,36,1
37,38,1
38,37,1
38,39,1
39,38,1
39,40,1
40,39,1
40,41,1
41,40,1
41,42,1
42,41,1
42,43,1
43,42,1
43,44,1
44,43,1
44,45,1
45,44,1
45,46,1
46,45,1
46,47,1
46,76,1
46,77,1
47,46,1
47,48,1
48,47,1
48,49,1
49,48,1
49,50,1
50,10,1
50,49,1
50,51,1
51,9,1
51,11,1
51,50,1
51,52,1
52,10,1
52,51,1
52,53,1
53,52,1
53,54,1
54,53,1
54,55,1
55,54,1
55,56,1
56,55,1
56,57,1
57,56,1
57,58,1
58,57,1
58,59,1
59,58,1
59,60,1
60,59,1
60,61,1
61,60,1
61,62,1
62,61,1
62,63,1
63,62,1
63,64,1
64,63,1
64,65,1
65,64,1
66,67,1
67,66,1
67,68,1
68,67,1
68,69,1
69,68,1
69,70,1
70,69,1
70,71,1
71,70,1
71,72,1
72,71,1
72,73,1
73,5,1
73,72,1
74,5,1
74,75,1
75,74,1
75,76,1
76,46,1
76,75,1
77,46,1
77,78,1
78,77,1
78,79,1
79,15,1
79,78,1